algo,stage_idx,config_id,config_json,size,num_agents,density,obs_radius,max_episode_steps,density_actual,LDD,BN,MC,DLR,success_rate,grid_hash,episodes_per_stage,FRA,FDA,nn_pred_success_rate,nn_complexity
CL-Gray3D,0,sz32_a2_d0.10,"{""size"":32,""obs_radius"":5,""density"":0.1,""num_agents"":2,""max_episode_steps"":100}",32,2,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,0.8,b6d75382fb9dd408,200,0.8663793103448276,0.79296875,0.8097640872001648,0.1902359127998352
CL-Gray3D,0,sz32_a2_d0.10,"{""max_episode_steps"":100,""size"":32,""density"":0.1,""num_agents"":2,""obs_radius"":5}",32,2,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,0.765,b6d75382fb9dd408,200,0.8663793103448276,0.79296875,0.8097640872001648,0.1902359127998352
CL-Gray3D,1,sz32_a2_d0.30,"{""max_episode_steps"":100,""size"":32,""density"":0.3,""num_agents"":2,""obs_radius"":5}",32,2,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,0.865,b6d75382fb9dd408,200,0.6871069182389937,0.62109375,0.8708716034889221,0.12912839651107788
CL-Gray3D,2,sz32_a2_d0.50,"{""max_episode_steps"":100,""size"":32,""density"":0.5,""num_agents"":2,""obs_radius"":5}",32,2,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,0.985,b6d75382fb9dd408,200,0.4734513274336283,0.44140625,0.9343715906143188,0.06562840938568115
CL-Gray3D,3,sz32_a2_d0.70,"{""max_episode_steps"":100,""size"":32,""density"":0.7,""num_agents"":2,""obs_radius"":5}",32,2,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,0.99,b6d75382fb9dd408,200,0.2984496124031007,0.251953125,0.972775399684906,0.027224600315093994
CL-Gray3D,4,sz32_a4_d0.70,"{""max_episode_steps"":100,""size"":32,""density"":0.7,""num_agents"":4,""obs_radius"":5}",32,4,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.985,b6d75382fb9dd408,200,0.3091872791519434,0.2763671875,0.965759813785553,0.03424018621444702
CL-Gray3D,5,sz32_a4_d0.50,"{""max_episode_steps"":100,""size"":32,""density"":0.5,""num_agents"":4,""obs_radius"":5}",32,4,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.88,b6d75382fb9dd408,200,0.4924892703862661,0.455078125,0.9172583222389221,0.08274167776107788
CL-Gray3D,6,sz32_a4_d0.30,"{""max_episode_steps"":100,""size"":32,""density"":0.3,""num_agents"":4,""obs_radius"":5}",32,4,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.86,b6d75382fb9dd408,200,0.6494252873563219,0.5947265625,0.8503618836402893,0.1496381163597107
CL-Gray3D,7,sz32_a4_d0.10,"{""max_episode_steps"":100,""size"":32,""density"":0.1,""num_agents"":4,""obs_radius"":5}",32,4,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.74,b6d75382fb9dd408,200,0.8801955990220048,0.798828125,0.7846043109893799,0.21539568901062012
CL-Gray3D,8,sz32_a8_d0.10,"{""max_episode_steps"":100,""size"":32,""density"":0.1,""num_agents"":8,""obs_radius"":5}",32,8,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.715,b6d75382fb9dd408,200,0.8782129742962056,0.7978515625,0.7438167929649353,0.2561832070350647
CL-Gray3D,9,sz32_a8_d0.30,"{""max_episode_steps"":100,""size"":32,""density"":0.3,""num_agents"":8,""obs_radius"":5}",32,8,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.825,b6d75382fb9dd408,200,0.6492659053833605,0.5986328125,0.8006226420402527,0.19937735795974731
CL-Gray3D,10,sz32_a8_d0.50,"{""max_episode_steps"":100,""size"":32,""density"":0.5,""num_agents"":8,""obs_radius"":5}",32,8,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.815,b6d75382fb9dd408,200,0.5010799136069114,0.4521484375,0.8764261603355408,0.12357383966445923
CL-Gray3D,11,sz32_a8_d0.70,"{""max_episode_steps"":100,""size"":32,""density"":0.7,""num_agents"":8,""obs_radius"":5}",32,8,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.995,b6d75382fb9dd408,200,0.2988505747126437,0.2548828125,0.9499840140342712,0.05001598596572876
CL-Gray3D,12,sz32_a16_d0.70,"{""max_episode_steps"":100,""size"":32,""density"":0.7,""num_agents"":16,""obs_radius"":5}",32,16,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.5110837438423645,0.945,b6d75382fb9dd408,200,0.3118466898954704,0.2802734375,0.9320331811904907,0.06796681880950928
CL-Gray3D,13,sz32_a16_d0.50,"{""max_episode_steps"":100,""size"":32,""density"":0.5,""num_agents"":16,""obs_radius"":5}",32,16,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.5110837438423645,0.9,b6d75382fb9dd408,200,0.4859002169197396,0.4501953125,0.8755886554718018,0.12441134452819824
CL-Gray3D,14,sz32_a16_d0.30,"{""max_episode_steps"":100,""size"":32,""density"":0.3,""num_agents"":16,""obs_radius"":5}",32,16,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.5110837438423645,0.735,b6d75382fb9dd408,200,0.7106446776611695,0.6513671875,0.7897528409957886,0.21024715900421143
CL-Gray3D,15,sz32_a16_d0.10,"{""max_episode_steps"":100,""size"":32,""density"":0.1,""num_agents"":16,""obs_radius"":5}",32,16,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.5110837438423645,0.77,b6d75382fb9dd408,200,0.8869987849331713,0.8037109375,0.7760995030403137,0.22390049695968628
CL-Gray3D,16,sz64_a16_d0.10,"{""max_episode_steps"":100,""size"":64,""density"":0.1,""num_agents"":16,""obs_radius"":5}",64,16,0.1,5,100,0.15234375,0.023498701728395,0.067396313,1.0,0.1074308755760368,0.715,1f09ff42da29f540,200,0.8824127906976744,0.83984375,0.685343861579895,0.314656138420105
CL-Gray3D,17,sz64_a16_d0.30,"{""max_episode_steps"":100,""size"":64,""density"":0.3,""num_agents"":16,""obs_radius"":5}",64,16,0.3,5,100,0.34375,0.038043551,0.376860119047619,0.0344827586206896,0.1934523809523809,0.72,ebb1e76cb79b19fb,200,0.6920810313075506,0.662841796875,0.8113216757774353,0.1886783242225647
CL-Gray3D,18,sz64_a16_d0.50,"{""max_episode_steps"":100,""size"":64,""density"":0.5,""num_agents"":16,""obs_radius"":5}",64,16,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.3458333333333333,0.94,b98ce8c22eb5eb2a,200,0.5046201232032854,0.4755859375,0.9109135270118713,0.08908647298812866
CL-Gray3D,19,sz64_a16_d0.70,"{""max_episode_steps"":100,""size"":64,""density"":0.7,""num_agents"":16,""obs_radius"":5}",64,16,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.702161164,0.98,7abb5aad47046108,200,0.3021295474711624,0.275146484375,0.9681699872016907,0.031830012798309326
CL-Gray3D,20,sz64_a8_d0.70,"{""max_episode_steps"":100,""size"":64,""density"":0.7,""num_agents"":8,""obs_radius"":5}",64,8,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.1755402910512597,0.99,7abb5aad47046108,200,0.3269881556683587,0.28857421875,0.9447840452194214,0.05521595478057861
CL-Gray3D,21,sz64_a8_d0.50,"{""max_episode_steps"":100,""size"":64,""density"":0.5,""num_agents"":8,""obs_radius"":5}",64,8,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.086458333,0.88,b98ce8c22eb5eb2a,200,0.49795605518651,0.477783203125,0.8817566633224487,0.11824333667755127
CL-Gray3D,22,sz64_a8_d0.30,"{""max_episode_steps"":100,""size"":64,""density"":0.3,""num_agents"":8,""obs_radius"":5}",64,8,0.3,5,100,0.34375,0.038043551,0.376860119047619,0.0344827586206896,0.048363095,0.76,ebb1e76cb79b19fb,200,0.688876446435237,0.654052734375,0.7552640438079834,0.2447359561920166
