map_name,Size,Agents,Density,Density_actual,FRA,FDA,BN,LDD,MC,DLR,success_rate,timeout_rate
map_0,32.0,2.0,0.1,0.20703125,,,,,,,0.07,0.02
map_4,32.0,4.0,0.1,0.201171875,,,,,,,0.31666666666666665,0.02
