feature,weight_norm
FPA,0.8039730580897638
FRA,0.10443863995456344
density_actual,0.05698601327971893
MC,0.01791994490588358
density,0.016682343770070135
DLR,0.0
num_agents,0.0
BN,0.0
size,0.0
LDD,0.0
