feature,coef_on_z
density_actual,0.1727241193264495
density,0.05229285602201197
MC,0.042245127858869885
size,0.030194232866632222
LDD,0.029522311736717023
FPA,0.0017223493101147349
DLR,0.0013882844619605133
num_agents,-0.005511175853149305
FRA,-0.025867236180974758
BN,-0.1703709482435445
