map_size,map_area,num_agents,agent_density,density,FRA,FRA_sq,FDA,FDA_sq,FRAxFDA,FRA_per_area,FDA_per_area,FRAxAgentDens,FDAxAgentDens,BN,MC,pred_raw,complexity_calibrated,curriculum_stage,success_rate
32,1024,2,0.001953125,0.1,0.8663793103448276,0.7506131093935792,0.79296875,0.6287994384765625,0.68701171875,0.0008460735452586207,0.000774383544921875,0.0016921470905172415,0.00154876708984375,0.094827586,1.0,0.7615846,0.75619835,3,0.8
32,1024,2,0.001953125,0.1,0.8663793103448276,0.7506131093935792,0.79296875,0.6287994384765625,0.68701171875,0.0008460735452586207,0.000774383544921875,0.0016921470905172415,0.00154876708984375,0.094827586,1.0,0.7615846,0.75619835,3,0.765
32,1024,2,0.001953125,0.3,0.6871069182389937,0.4721159170918872,0.62109375,0.3857574462890625,0.4267578125,0.0006710028498427673,0.000606536865234375,0.0013420056996855346,0.00121307373046875,0.094827586,1.0,0.8284371,0.553719,2,0.865
32,1024,2,0.001953125,0.5,0.4734513274336283,0.22415615944866468,0.44140625,0.1948394775390625,0.20898437499999997,0.0004623548119469026,0.000431060791015625,0.0009247096238938052,0.00086212158203125,0.094827586,1.0,0.9894696,0.07438017,0,0.985
32,1024,2,0.001953125,0.7,0.2984496124031007,0.08907217114356103,0.251953125,0.06348037719726562,0.07519531249999999,0.000291454699612403,0.0002460479736328125,0.000582909399224806,0.000492095947265625,0.094827586,1.0,0.92498285,0.30578515,1,0.99
32,1024,4,0.00390625,0.7,0.3091872791519434,0.09559677358938176,0.2763671875,0.07637882232666016,0.08544921874999997,0.0003019407022968197,0.00026988983154296875,0.0012077628091872788,0.001079559326171875,0.094827586,1.0,0.9801346,0.12396693,0,0.985
32,1024,4,0.00390625,0.5,0.4924892703862661,0.24254568144559674,0.455078125,0.20709609985351562,0.22412109375,0.000480946553111588,0.0004444122314453125,0.001923786212446352,0.00177764892578125,0.094827586,1.0,0.8451627,0.4876033,1,0.88
32,1024,4,0.00390625,0.3,0.6494252873563219,0.42175320385784126,0.5947265625,0.3536996841430664,0.38623046875,0.0006342043821839081,0.0005807876586914062,0.0025368175287356323,0.002323150634765625,0.094827586,1.0,0.85987824,0.42975208,1,0.86
32,1024,4,0.00390625,0.1,0.8801955990220048,0.7747442925377059,0.798828125,0.6381263732910156,0.703125,0.0008595660146699266,0.0007801055908203125,0.0034382640586797064,0.00312042236328125,0.094827586,1.0,0.7885304,0.6694215,2,0.74
32,1024,8,0.0078125,0.1,0.8782129742962056,0.7712580282221879,0.7978515625,0.6365671157836914,0.70068359375,0.0008576298577111383,0.0007791519165039062,0.006861038861689106,0.00623321533203125,0.094827586,1.0,0.7167047,0.9338843,3,0.715
