feature,coef_z
size,0.003602433517392639
num_agents,0.023710057294315537
density,-0.06899471102724812
density_actual,-0.011997570697206424
LDD,-0.01197930232076679
BN,-0.0010910139924441705
MC,-0.029976624741894574
DLR,-0.004093207495620256
FRA,0.07266224937746031
FPA,0.07733274425515084
intercept,0.4959016393483942
