algo,stage_idx,config_id,config_json,size,num_agents,density,obs_radius,max_episode_steps,density_actual,LDD,BN,MC,DLR,success_rate,grid_hash,episodes_per_stage,Complexity
CL-Gray3D,1,sz32_a2_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,0.88,b6d75382fb9dd408,200,0.8757034056745348
CL-Gray3D,2,sz32_a2_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,0.99,b6d75382fb9dd408,200,0.8757034056745348
CL-Gray3D,3,sz32_a2_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":2,""max_episode_steps"":100}",32,2,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.007985683,1.0,b6d75382fb9dd408,200,0.8757034056745348
CL-Gray3D,4,sz32_a4_d0.70,"{""obs_radius"":5,""density"":0.7,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.975,b6d75382fb9dd408,200,0.8757513197765151
CL-Gray3D,5,sz32_a4_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.9,b6d75382fb9dd408,200,0.8757513197765151
CL-Gray3D,6,sz32_a4_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.86,b6d75382fb9dd408,200,0.8757513197765151
CL-Gray3D,7,sz32_a4_d0.10,"{""obs_radius"":5,""density"":0.1,""size"":32,""num_agents"":4,""max_episode_steps"":100}",32,4,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.76,b6d75382fb9dd408,200,0.8757513197765151
CL-Gray3D,8,sz32_a8_d0.10,"{""obs_radius"":5,""density"":0.1,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.72,b6d75382fb9dd408,200,0.875942976180456
CL-Gray3D,9,sz32_a8_d0.30,"{""obs_radius"":5,""density"":0.3,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.78,b6d75382fb9dd408,200,0.875942976180456
CL-Gray3D,10,sz32_a8_d0.50,"{""obs_radius"":5,""density"":0.5,""size"":32,""num_agents"":8,""max_episode_steps"":100}",32,8,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.965,b6d75382fb9dd408,200,0.875942976180456
