episode,stage,map,agents,complexity,success,success_rate_global,success_rate_stage
1,0,map_3,2,0.0272246003150939,1,1.0,1.0
2,0,map_31,16,0.0318300127983093,1,1.0,1.0
3,0,map_7,4,0.034240186214447,1,1.0,1.0
4,0,map_51,2,0.0386068820953369,1,1.0,1.0
5,0,map_63,16,0.0399672389030456,1,1.0,1.0
6,0,map_55,4,0.0406293869018554,1,1.0,1.0
7,0,map_19,2,0.0415452122688293,1,1.0,1.0
8,0,map_35,2,0.0425976514816284,1,1.0,1.0
9,0,map_59,8,0.0432140827178955,1,1.0,1.0
10,0,map_23,4,0.044947326183319,1,1.0,1.0
11,0,map_47,16,0.0468083620071411,0,0.9090909090909091,0.9090909090909091
12,0,map_23,4,0.044947326183319,1,0.9166666666666666,0.9166666666666666
13,0,map_47,16,0.0468083620071411,1,0.9230769230769231,0.9230769230769231
14,0,map_39,4,0.0472275614738464,1,0.9285714285714286,0.9285714285714286
15,0,map_11,8,0.0500159859657287,1,0.9333333333333333,0.9333333333333333
16,0,map_11,8,0.0500159859657287,1,0.9375,0.9375
17,0,map_11,8,0.0500159859657287,1,0.9411764705882353,0.9411764705882353
18,0,map_11,8,0.0500159859657287,1,0.9444444444444444,0.9444444444444444
19,0,map_11,8,0.0500159859657287,1,0.9473684210526315,0.9473684210526315
20,0,map_39,4,0.0472275614738464,1,0.95,0.95
21,0,map_39,4,0.0472275614738464,1,0.9523809523809523,0.9523809523809523
22,0,map_39,4,0.0472275614738464,1,0.9545454545454546,0.9545454545454546
23,0,map_39,4,0.0472275614738464,1,0.9565217391304348,0.9565217391304348
24,0,map_47,16,0.0468083620071411,1,0.9583333333333334,0.9583333333333334
25,0,map_47,16,0.0468083620071411,1,0.96,0.96
26,0,map_47,16,0.0468083620071411,1,0.9615384615384616,0.9615384615384616
27,0,map_23,4,0.044947326183319,1,0.9629629629629629,0.9629629629629629
28,0,map_23,4,0.044947326183319,1,0.9642857142857143,0.9642857142857143
29,0,map_23,4,0.044947326183319,1,0.9655172413793104,0.9655172413793104
30,0,map_59,8,0.0432140827178955,1,0.9666666666666667,0.9666666666666667
31,0,map_59,8,0.0432140827178955,1,0.967741935483871,0.967741935483871
32,0,map_59,8,0.0432140827178955,1,0.96875,0.96875
33,0,map_59,8,0.0432140827178955,1,0.9696969696969697,0.9696969696969697
34,0,map_35,2,0.0425976514816284,1,0.9705882352941176,0.9705882352941176
35,0,map_35,2,0.0425976514816284,1,0.9714285714285714,0.9714285714285714
36,0,map_35,2,0.0425976514816284,1,0.9722222222222222,0.9722222222222222
37,0,map_35,2,0.0425976514816284,1,0.972972972972973,0.972972972972973
38,0,map_19,2,0.0415452122688293,1,0.9736842105263158,0.9736842105263158
39,0,map_19,2,0.0415452122688293,1,0.9743589743589743,0.9743589743589743
40,0,map_19,2,0.0415452122688293,1,0.975,0.975
41,0,map_19,2,0.0415452122688293,1,0.975609756097561,0.975609756097561
42,0,map_55,4,0.0406293869018554,1,0.9761904761904762,0.9761904761904762
43,0,map_55,4,0.0406293869018554,1,0.9767441860465116,0.9767441860465116
44,0,map_55,4,0.0406293869018554,1,0.9772727272727273,0.9772727272727273
45,0,map_55,4,0.0406293869018554,1,0.9777777777777777,0.9777777777777777
46,0,map_63,16,0.0399672389030456,1,0.9782608695652174,0.9782608695652174
47,0,map_63,16,0.0399672389030456,1,0.9787234042553191,0.9787234042553191
48,0,map_63,16,0.0399672389030456,1,0.9791666666666666,0.9791666666666666
49,0,map_63,16,0.0399672389030456,1,0.9795918367346939,0.9795918367346939
50,0,map_51,2,0.0386068820953369,1,0.98,0.98
51,0,map_51,2,0.0386068820953369,1,0.9803921568627451,0.9803921568627451
52,0,map_51,2,0.0386068820953369,1,0.9807692307692307,0.9807692307692307
53,0,map_51,2,0.0386068820953369,1,0.9811320754716981,0.9811320754716981
54,0,map_7,4,0.034240186214447,1,0.9814814814814815,0.9814814814814815
55,0,map_7,4,0.034240186214447,1,0.9818181818181818,0.9818181818181818
56,0,map_7,4,0.034240186214447,1,0.9821428571428571,0.9821428571428571
57,0,map_7,4,0.034240186214447,1,0.9824561403508771,0.9824561403508771
58,0,map_31,16,0.0318300127983093,1,0.9827586206896551,0.9827586206896551
59,0,map_31,16,0.0318300127983093,1,0.9830508474576272,0.9830508474576272
60,0,map_31,16,0.0318300127983093,1,0.9833333333333333,0.9833333333333333
61,0,map_31,16,0.0318300127983093,1,0.9836065573770492,0.9836065573770492
62,0,map_3,2,0.0272246003150939,1,0.9838709677419355,0.9838709677419355
63,0,map_3,2,0.0272246003150939,1,0.9841269841269841,0.9841269841269841
64,0,map_3,2,0.0272246003150939,1,0.984375,0.984375
65,0,map_3,2,0.0272246003150939,1,0.9846153846153847,0.9846153846153847
66,0,map_3,2,0.0272246003150939,1,0.9848484848484849,0.9848484848484849
67,0,map_7,4,0.034240186214447,1,0.9850746268656716,0.9850746268656716
68,0,map_51,2,0.0386068820953369,1,0.9852941176470589,0.9852941176470589
69,0,map_55,4,0.0406293869018554,1,0.9855072463768116,0.9855072463768116
70,0,map_19,2,0.0415452122688293,1,0.9857142857142858,0.9857142857142858
71,0,map_35,2,0.0425976514816284,1,0.9859154929577465,0.9859154929577465
72,0,map_59,8,0.0432140827178955,1,0.9861111111111112,0.9861111111111112
73,0,map_23,4,0.044947326183319,1,0.9863013698630136,0.9863013698630136
74,0,map_3,2,0.0272246003150939,1,0.9864864864864865,0.9864864864864865
75,0,map_7,4,0.034240186214447,1,0.9866666666666667,0.9866666666666667
76,0,map_51,2,0.0386068820953369,1,0.9868421052631579,0.9868421052631579
77,0,map_55,4,0.0406293869018554,1,0.987012987012987,0.987012987012987
78,0,map_19,2,0.0415452122688293,1,0.9871794871794872,0.9871794871794872
79,0,map_35,2,0.0425976514816284,1,0.9873417721518988,0.9873417721518988
80,0,map_59,8,0.0432140827178955,1,0.9875,0.9875
81,0,map_23,4,0.044947326183319,0,0.9753086419753086,0.9753086419753086
82,0,map_3,2,0.0272246003150939,1,0.975609756097561,0.975609756097561
83,0,map_7,4,0.034240186214447,1,0.9759036144578314,0.9759036144578314
84,0,map_51,2,0.0386068820953369,1,0.9761904761904762,0.9761904761904762
85,0,map_55,4,0.0406293869018554,1,0.9764705882352941,0.9764705882352941
86,0,map_19,2,0.0415452122688293,1,0.9767441860465116,0.9767441860465116
87,0,map_35,2,0.0425976514816284,1,0.9770114942528736,0.9770114942528736
88,0,map_59,8,0.0432140827178955,1,0.9772727272727273,0.9772727272727273
89,0,map_23,4,0.044947326183319,1,0.9775280898876404,0.9775280898876404
90,0,map_3,2,0.0272246003150939,1,0.9777777777777777,0.9777777777777777
91,0,map_7,4,0.034240186214447,1,0.978021978021978,0.978021978021978
92,0,map_51,2,0.0386068820953369,1,0.9782608695652174,0.9782608695652174
93,0,map_55,4,0.0406293869018554,1,0.978494623655914,0.978494623655914
94,0,map_19,2,0.0415452122688293,1,0.9787234042553191,0.9787234042553191
95,0,map_35,2,0.0425976514816284,1,0.9789473684210527,0.9789473684210527
96,0,map_59,8,0.0432140827178955,1,0.9791666666666666,0.9791666666666666
97,0,map_23,4,0.044947326183319,1,0.979381443298969,0.979381443298969
98,0,map_3,2,0.0272246003150939,1,0.9795918367346939,0.9795918367346939
99,0,map_7,4,0.034240186214447,1,0.9797979797979798,0.9797979797979798
100,0,map_51,2,0.0386068820953369,1,0.98,0.98
101,0,map_55,4,0.0406293869018554,1,0.9801980198019802,0.9801980198019802
102,0,map_19,2,0.0415452122688293,1,0.9803921568627451,0.9803921568627451
103,0,map_35,2,0.0425976514816284,1,0.9805825242718447,0.9805825242718447
104,0,map_59,8,0.0432140827178955,1,0.9807692307692307,0.9807692307692307
105,0,map_23,4,0.044947326183319,1,0.9809523809523809,0.9809523809523809
106,0,map_3,2,0.0272246003150939,1,0.9811320754716981,0.9811320754716981
107,0,map_7,4,0.034240186214447,1,0.9813084112149533,0.9813084112149533
108,0,map_51,2,0.0386068820953369,1,0.9814814814814815,0.9814814814814815
109,0,map_55,4,0.0406293869018554,1,0.981651376146789,0.981651376146789
110,0,map_19,2,0.0415452122688293,1,0.9818181818181818,0.9818181818181818
111,0,map_35,2,0.0425976514816284,1,0.9819819819819819,0.9819819819819819
112,0,map_59,8,0.0432140827178955,1,0.9821428571428571,0.9821428571428571
113,0,map_23,4,0.044947326183319,1,0.9823008849557522,0.9823008849557522
114,0,map_3,2,0.0272246003150939,1,0.9824561403508771,0.9824561403508771
115,0,map_7,4,0.034240186214447,1,0.9826086956521739,0.9826086956521739
116,0,map_51,2,0.0386068820953369,1,0.9827586206896551,0.9827586206896551
117,0,map_55,4,0.0406293869018554,1,0.9829059829059829,0.9829059829059829
118,0,map_19,2,0.0415452122688293,1,0.9830508474576272,0.9830508474576272
119,0,map_35,2,0.0425976514816284,1,0.9831932773109243,0.9831932773109243
120,0,map_59,8,0.0432140827178955,1,0.9833333333333333,0.9833333333333333
121,0,map_23,4,0.044947326183319,1,0.9834710743801653,0.9834710743801653
122,0,map_3,2,0.0272246003150939,1,0.9836065573770492,0.9836065573770492
123,0,map_7,4,0.034240186214447,1,0.983739837398374,0.983739837398374
124,0,map_51,2,0.0386068820953369,1,0.9838709677419355,0.9838709677419355
125,0,map_55,4,0.0406293869018554,1,0.984,0.984
126,0,map_19,2,0.0415452122688293,1,0.9841269841269841,0.9841269841269841
127,0,map_35,2,0.0425976514816284,1,0.984251968503937,0.984251968503937
128,0,map_59,8,0.0432140827178955,1,0.984375,0.984375
129,0,map_23,4,0.044947326183319,1,0.9844961240310077,0.9844961240310077
130,0,map_3,2,0.0272246003150939,1,0.9846153846153847,0.9846153846153847
131,0,map_7,4,0.034240186214447,1,0.9847328244274809,0.9847328244274809
132,0,map_51,2,0.0386068820953369,1,0.9848484848484849,0.9848484848484849
133,0,map_55,4,0.0406293869018554,1,0.9849624060150376,0.9849624060150376
134,0,map_19,2,0.0415452122688293,1,0.9850746268656716,0.9850746268656716
135,0,map_35,2,0.0425976514816284,1,0.9851851851851852,0.9851851851851852
136,0,map_59,8,0.0432140827178955,1,0.9852941176470589,0.9852941176470589
137,0,map_23,4,0.044947326183319,1,0.9854014598540146,0.9854014598540146
138,0,map_3,2,0.0272246003150939,1,0.9855072463768116,0.9855072463768116
139,0,map_7,4,0.034240186214447,1,0.9856115107913669,0.9856115107913669
140,0,map_51,2,0.0386068820953369,1,0.9857142857142858,0.9857142857142858
141,0,map_55,4,0.0406293869018554,1,0.9858156028368794,0.9858156028368794
142,0,map_19,2,0.0415452122688293,1,0.9859154929577465,0.9859154929577465
143,0,map_35,2,0.0425976514816284,1,0.986013986013986,0.986013986013986
144,0,map_59,8,0.0432140827178955,1,0.9861111111111112,0.9861111111111112
145,0,map_23,4,0.044947326183319,1,0.9862068965517241,0.9862068965517241
146,0,map_3,2,0.0272246003150939,1,0.9863013698630136,0.9863013698630136
147,0,map_7,4,0.034240186214447,1,0.9863945578231292,0.9863945578231292
148,0,map_51,2,0.0386068820953369,1,0.9864864864864865,0.9864864864864865
149,0,map_55,4,0.0406293869018554,1,0.9865771812080537,0.9865771812080537
150,0,map_19,2,0.0415452122688293,1,0.9866666666666667,0.9866666666666667
151,0,map_35,2,0.0425976514816284,1,0.9867549668874173,0.9867549668874173
152,0,map_59,8,0.0432140827178955,1,0.9868421052631579,0.9868421052631579
153,0,map_23,4,0.044947326183319,1,0.9869281045751634,0.9869281045751634
154,0,map_3,2,0.0272246003150939,1,0.987012987012987,0.987012987012987
155,0,map_7,4,0.034240186214447,1,0.9870967741935484,0.9870967741935484
