algo,stage_idx,config_id,config_json,size,num_agents,density,obs_radius,max_episode_steps,density_actual,LDD,BN,MC,DLR,success_rate,grid_hash,episodes_per_stage
CL-Gray3D,25,sz64_a4_d0.30,"{""max_episode_steps"":100,""size"":64,""density"":0.3,""num_agents"":4,""obs_radius"":5}",64,4,0.3,5,100,0.34375,0.038043551,0.37686011904761907,0.034482758620689655,0.012090773809523808,0.84,ebb1e76cb79b19fb,200
CL-Gray3D,26,sz64_a4_d0.50,"{""max_episode_steps"":100,""size"":64,""density"":0.5,""num_agents"":4,""obs_radius"":5}",64,4,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.021614583333333333,0.87,b98ce8c22eb5eb2a,200
CL-Gray3D,27,sz64_a4_d0.70,"{""max_episode_steps"":100,""size"":64,""density"":0.7,""num_agents"":4,""obs_radius"":5}",64,4,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.043885073,0.955,7abb5aad47046108,200
CL-Gray3D,28,sz64_a2_d0.70,"{""max_episode_steps"":100,""size"":64,""density"":0.7,""num_agents"":2,""obs_radius"":5}",64,2,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.010971268190703735,0.995,7abb5aad47046108,200
CL-Gray3D,29,sz64_a2_d0.50,"{""max_episode_steps"":100,""size"":64,""density"":0.5,""num_agents"":2,""obs_radius"":5}",64,2,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.005403646,0.665,b98ce8c22eb5eb2a,200
CL-Gray3D,30,sz64_a2_d0.30,"{""max_episode_steps"":100,""size"":64,""density"":0.3,""num_agents"":2,""obs_radius"":5}",64,2,0.3,5,100,0.34375,0.038043551,0.37686011904761907,0.034482758620689655,0.003022693,0.84,ebb1e76cb79b19fb,200
CL-Gray3D,31,sz64_a2_d0.10,"{""max_episode_steps"":100,""size"":64,""density"":0.1,""num_agents"":2,""obs_radius"":5}",64,2,0.1,5,100,0.15234375,0.023498701728395067,0.067396313,1,0.001678607,0.84,1f09ff42da29f540,200
CL-Gray3D,32,sz96_a2_d0.10,"{""max_episode_steps"":100,""size"":96,""density"":0.1,""num_agents"":2,""obs_radius"":5}",96,2,0.1,5,100,0.1362847222222222,0.019740715,0.060301508,1,0.000707967,0.755,aff34a165045f99f,200
CL-Gray3D,33,sz96_a2_d0.30,"{""max_episode_steps"":100,""size"":96,""density"":0.3,""num_agents"":2,""obs_radius"":5}",96,2,0.3,5,100,0.3288845486111111,0.037856964,0.3516572352465643,0.011764705882352941,0.00128482,0.855,99b80bb8a5c0b1b8,200
CL-Gray3D,34,sz96_a2_d0.50,"{""max_episode_steps"":100,""size"":96,""density"":0.5,""num_agents"":2,""obs_radius"":5}",96,2,0.5,5,100,0.5194227430555556,0.042673273751880535,0.6965454955972002,0.001636661,0.00231047,0.855,504d0ab148124ead,200
