map_name,Size,Agents,Density,LDD,BN,MC,DLR,Complexity_default,density_actual,grid_hash
map_0,0.22580645161290322,0.015873015873015872,0.34505208333333337,0.030569085797584338,0.09482758620689655,1.0,0.007985683497536946,,0.20703125,b6d75382fb9dd408
map_1,0.22580645161290322,0.015873015873015872,0.6315104166666667,0.036045314452311544,0.35062893081761004,0.1111111111111111,0.013438482704402517,,0.37890625,fbac190ceb082f7a
map_2,0.22580645161290322,0.015873015873015872,0.9309895833333334,0.04389186797167847,0.7345132743362832,0.013513513513513514,0.023679480088495575,,0.55859375,4990ef4e40ead511
map_3,0.22580645161290322,0.015873015873015872,1.0,0.0396908683881716,0.9263565891472868,0.009174311926605505,0.05029675387596899,,0.748046875,9f3c194fc36b2534
map_4,0.22580645161290322,0.047619047619047616,0.33528645833333337,0.031844387755102045,0.07090464547677261,0.3333333333333333,0.03136460880195599,,0.201171875,0695d57c30c058ed
map_5,0.22580645161290322,0.047619047619047616,0.6754557291666667,0.04440612244897959,0.4482758620689655,0.07692307692307693,0.05821531198686371,,0.4052734375,21ae8ffb98a84880
map_6,0.22580645161290322,0.047619047619047616,0.908203125,0.04840816326530612,0.7081545064377682,0.014285714285714285,0.09046405579399142,,0.544921875,86c9ccfa549dbb6e
map_7,0.22580645161290322,0.047619047619047616,1.0,0.035464056643065386,0.8975265017667845,0.008403361344537815,0.17927340989399293,,0.7236328125,8a57b06352cb1fa7
map_8,0.22580645161290322,0.1111111111111111,0.3369140625,0.025777551020408164,0.07588739290085679,1.0,0.12584149326805386,,0.2021484375,52e21f1b8a9863d5
map_9,0.22580645161290322,0.1111111111111111,0.6689453125,0.039067888379841736,0.433931484502447,0.07692307692307693,0.2301182707993475,,0.4013671875,0cbffb31df84bdaa
map_10,0.22580645161290322,0.1111111111111111,0.9130859375,0.045395918367346945,0.6825053995680346,0.015625,0.36541576673866094,,0.5478515625,cfdbffacbab50c1f
map_11,0.22580645161290322,0.1111111111111111,1.0,0.0300646293211162,0.9425287356321839,0.009009009009009009,0.7933429118773946,,0.7451171875,de9819be6b60e387
map_12,0.22580645161290322,0.23809523809523808,0.3271484375,0.031739264889629325,0.06804374240583232,0.3333333333333333,0.49422843256379095,,0.1962890625,c4f494c2aa78b85e
map_13,0.22580645161290322,0.23809523809523808,0.5810546875,0.04434102457309455,0.3328335832083958,0.16666666666666666,0.7852323838080959,,0.3486328125,f10ac8f666ad361c
map_14,0.22580645161290322,0.23809523809523808,0.9163411458333334,0.04102622865472721,0.7158351409978309,0.016666666666666666,1.0,,0.5498046875,269974c6518c5efd
map_15,0.22580645161290322,0.23809523809523808,1.0,0.03467295918367347,0.9198606271777003,0.008695652173913044,1.0,,0.7197265625,4ed928b3f952a1ee
map_16,0.4838709677419355,0.015873015873015872,0.26204427083333337,0.020820857283950618,0.06894553881807648,1.0,0.001705306706257242,,0.1572265625,bc17a8d122940e5c
map_17,0.4838709677419355,0.015873015873015872,0.5704752604166667,0.041799537777777784,0.36005939123979214,0.02564102564102564,0.003009436479213066,,0.34228515625,5656cd53c539e5bb
map_18,0.4838709677419355,0.015873015873015872,0.8841959635416667,0.04477482666666668,0.6900676027041082,0.0035714285714285713,0.005390645313312533,,0.530517578125,01144f5b59c40423
map_19,0.4838709677419355,0.015873015873015872,1.0,0.035917493333333335,0.9203767123287672,0.0020964360587002098,0.0107689426369863,,0.71484375,459a111b6878ac07
map_20,0.4838709677419355,0.047619047619047616,0.262451171875,0.022810346172839505,0.06490872210953347,1.0,0.00682659917415242,,0.157470703125,6dd787dea7319216
map_21,0.4838709677419355,0.047619047619047616,0.5635579427083334,0.03918159802469136,0.3618590925857617,0.024390243902439025,0.011888774898561418,,0.338134765625,05088d3e971e7755
map_22,0.4838709677419355,0.047619047619047616,0.8841959635416667,0.04290824691358026,0.6978679147165887,0.0036496350364963502,0.021562581253250133,,0.530517578125,52fb205b0d1c25b0
map_23,0.4838709677419355,0.047619047619047616,1.0,0.03770684,0.9162956366874443,0.002066115702479339,0.04527145480854853,,0.725830078125,825b7b3325844ed5
map_24,0.4838709677419355,0.1111111111111111,0.24820963541666669,0.021723093333333332,0.055651176133103844,1.0,0.02656160355708548,,0.14892578125,d4b97e37a9de3ecf
map_25,0.4838709677419355,0.1111111111111111,0.5765787760416667,0.04364792888888889,0.3661814109742441,0.02631578947368421,0.04868304404628593,,0.345947265625,e5cb607506030bcb
map_26,0.4838709677419355,0.1111111111111111,0.870361328125,0.04139410172839507,0.6842105263157895,0.003745318352059925,0.0839374680633623,,0.522216796875,2755c8d4d444da9d
map_27,0.4838709677419355,0.1111111111111111,1.0,0.036228691358024694,0.9001692047377327,0.0022222222222222222,0.16970706429780033,,0.71142578125,f556208d0990476a
map_28,0.4838709677419355,0.23809523809523808,0.26692708333333337,0.02555791802469136,0.07325581395348837,1.0,0.11017441860465116,,0.16015625,cdc6ea8ff2c9a732
map_29,0.4838709677419355,0.23809523809523808,0.5619303385416667,0.03729493135802469,0.36279926335174956,0.03571428571428571,0.18966390423572743,,0.337158203125,3f68e0d91fbc2f2c
map_30,0.4838709677419355,0.23809523809523808,0.8740234375,0.0440172439506173,0.6919917864476386,0.004032258064516129,0.33816735112936347,,0.5244140625,b0942aa9c4c98799
map_31,0.4838709677419355,0.23809523809523808,1.0,0.03345751654320987,0.9192546583850931,0.002105263157894737,0.7211069210292813,,0.724853515625,2e40476a48008d3d
map_32,0.7419354838709677,0.015873015873015872,0.22876880787037035,0.018843178001079184,0.05911206137592755,0.3333333333333333,0.0007102421603152644,,0.1372612847222222,08aab33c6ad42a61
map_33,0.7419354838709677,0.015873015873015872,0.5418113425925927,0.03764027965880625,0.3485530546623794,0.014084507042253521,0.0012702639335476957,,0.3250868055555556,d8fe9bd4798f3312
map_34,0.7419354838709677,0.015873015873015872,0.8698640046296297,0.044611943121272445,0.6963231956423059,0.0016025641025641025,0.002329328377969436,,0.5219184027777778,8eb3452a8941238e
map_35,0.7419354838709677,0.015873015873015872,1.0,0.03178562362198534,0.9318010550113037,0.0008431703204047217,0.004726552687766892,,0.7120225694444444,bb1585cb8239e081
map_36,0.7419354838709677,0.047619047619047616,0.22913049768518517,0.019555898438756294,0.06466222166310227,0.5,0.0028429938776366,,0.1374782986111111,0b53f121986ab5dd
map_37,0.7419354838709677,0.047619047619047616,0.556640625,0.034642160012292686,0.37732160312805474,0.01282051282051282,0.005218515803193223,,0.333984375,22b5ffd60fb35c6b
map_38,0.7419354838709677,0.047619047619047616,0.8729383680555557,0.04119133650894616,0.696058327637275,0.0016666666666666668,0.00937357598541809,,0.5237630208333334,2ad0bec951971baf
map_39,0.7419354838709677,0.047619047619047616,1.0,0.03064863610049992,0.9260901699926091,0.0008764241893076249,0.018442812269031782,,0.7063802083333334,178337ee35571750
map_40,0.7419354838709677,0.1111111111111111,0.23003472222222224,0.019728619376717497,0.06080060422960725,0.25,0.011392245720040281,,0.13802083333333334,41889587f1de9f12
map_41,0.7419354838709677,0.1111111111111111,0.5618851273148149,0.035047841363488555,0.3756752332623997,0.010869565217391304,0.021072052163474658,,0.3371310763888889,9798042bb2826103
map_42,0.7419354838709677,0.1111111111111111,0.8888527199074074,0.0447917638051608,0.7116949546617066,0.0015290519877675841,0.038687708284894984,,0.5333116319444444,e8510b54b633cab9
map_43,0.7419354838709677,0.1111111111111111,1.0,0.03498959614566843,0.9220524872698785,0.0008453085376162299,0.07944085389737564,,0.7229817708333334,e9940f68eabf5f70
map_44,0.7419354838709677,0.23809523809523808,0.22424768518518517,0.0201015096965777,0.0574222668004012,0.5,0.04505182213306586,,0.1345486111111111,dc96bd29ee975827
map_45,0.7419354838709677,0.23809523809523808,0.5414496527777778,0.03686673423479762,0.3592092574734812,0.011764705882352941,0.08124397299903567,,0.3248697916666667,535a86e89dc33fe2
map_46,0.7419354838709677,0.23809523809523808,0.8563006365740741,0.04253060050171347,0.681990627092167,0.0017271157167530224,0.14518708621587442,,0.5137803819444444,0bbdb844ccebfb17
map_47,0.7419354838709677,0.23809523809523808,1.0,0.03457048967092027,0.9100827689992476,0.0008795074758135445,0.30191873589164786,,0.7115885416666666,a17e2cce8722bff1
map_48,1.0,0.015873015873015872,0.21514892578125,0.018945949686038542,0.06104141845959773,0.25,0.0003888900599639078,,0.12908935546875,40b6b25feb9a9066
map_49,1.0,0.015873015873015872,0.5420939127604167,0.034220271304063465,0.3653550429669833,0.006993006993006993,0.0007148870349954772,,0.32525634765625,b3fbb40f59a89ffa
map_50,1.0,0.015873015873015872,0.8577473958333334,0.04135770207174499,0.6973088531187123,0.0009090909090909091,0.001279650559607646,,0.5146484375,78caa4aabbea3524
map_51,1.0,0.015873015873015872,1.0,0.03489915356553884,0.9169629784563899,0.0004943153732081067,0.002614158338344489,,0.70819091796875,0654c8b425ab7ddd
map_52,1.0,0.047619047619047616,0.21341959635416669,0.01876390553111407,0.05942881142377152,0.3333333333333333,0.0015502229017919642,,0.1280517578125,663e217ccc2b3460
map_53,1.0,0.047619047619047616,0.5362955729166667,0.033999501473166285,0.36258099352051837,0.0072992700729927005,0.002829851736861051,,0.32177734375,4f20a423eabe1cb6
map_54,1.0,0.047619047619047616,0.8623250325520834,0.040260453525149946,0.6873656253952194,0.0009233610341643582,0.0051644063409004674,,0.51739501953125,83f46a16858114b5
map_55,1.0,0.047619047619047616,1.0,0.034189134600079475,0.9112714922521757,0.0004894762604013706,0.010655538566652516,,0.71246337890625,5d56bd29ef38a98d
map_56,1.0,0.1111111111111111,0.21341959635416669,0.01869289978246299,0.058028839423211534,0.5,0.006200891607167857,,0.1280517578125,6743f7e6097122d3
map_57,1.0,0.1111111111111111,0.5413818359375,0.03620180721391284,0.36765503525583076,0.006756756756756757,0.011423538917013198,,0.3248291015625,f8c4304c91771c73
map_58,1.0,0.1111111111111111,0.8677164713541667,0.03939897067852274,0.7074102368220015,0.0008576329331046312,0.020876106124267886,,0.5206298828125,a9fa27e2ce782db4
map_59,1.0,0.1111111111111111,1.0,0.03334434969535073,0.9180952380952381,0.0004780114722753346,0.04246114417989418,,0.71160888671875,c5f190fc7eb95e03
map_60,1.0,0.23809523809523808,0.21555582682291669,0.018243867870898444,0.060708026638626005,0.2,0.024909086926042764,,0.12933349609375,80e969bcd11b57db
map_61,1.0,0.23809523809523808,0.5415852864583334,0.036575208116545264,0.35804701627486435,0.008130081300813009,0.04571089511754069,,0.324951171875,748e7384c3a4dead
map_62,1.0,0.23809523809523808,0.8652750651041667,0.04171751911976014,0.7013201320132013,0.0009132420091324201,0.08310722899213,,0.5191650390625,e09c5dc41c04fa9c
map_63,1.0,0.23809523809523808,1.0,0.03325605457266267,0.9147727272727273,0.00048828125,0.16861321548821548,,0.7099609375,1a9fee1beab56be2
