map_name,Size,Agents,Density,Density_actual,FRA,FDA,BN,LDD,MC,DLR,simple_score
map_0,32.0,2.0,0.1,0.20703125,,,,,,,1.0
map_4,32.0,4.0,0.1,0.201171875,,,,,,,1.0
