feature,coef_on_z
density_actual,0.179386638232532
density,0.07629801726752397
MC,0.04274059439344004
size,0.030566350207807656
LDD,0.03025979350767294
DLR,0.0006625520209735097
num_agents,-0.005275329909636129
BN,-0.17721901099125603
